Tipo de Publicacion;Titulo;Nombre de Publicacion;Estado;Ambito;Tipo;Autores;Ejercicio
ARTICULO;Morphological variation and different branch modularity across contrasting flow conditions in dominant Pocillopora reef-building corals.;Oecologia;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Paz Garcia, D. A., Aldana Moreno, A., Cabral Tena, R. A., Hellberg E., M., Garcia De Leon, F. J., Balart Paez, E. F.;2015
ARTICULO;Relationships between copper and stress indicators in the Pacific white shrimp, Litopenaeus vannamei;Marine and Freshwater Behaviour and Physiology;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Bautista Covarrubias, J. C., Frias Espericueta, M. G., Velarde Montes, G. J., Voltolina Lobina, D., Garcia de la Parra, L. M., Soto Jimenez, M. F.;2015
ARTICULO;EMERGENCIA Y CRECIMIENTO DE PLANTULAS DE VARIEDADES DE ALBAHACA (Ocimum basilicum L.) SOMETIDAS A ESTRES HIDRICO;ECOSISTEMAS Y RECURSOS AGROPECUARIOS;PUBLICADO;NACIONAL;INDEXADO ISI O CONACYT;Ojeda Silvera, C. M., Murillo Amador, B., Nieto Garibay, A., Troyo Dieguez, E., Reynaldo Escobar, I. M., Ruiz Espinoza, F. H., Garcia Hernandez, J. L.;2015
ARTICULO;Los fertilizantes biologicos en la agricultura;INVURNUS;PUBLICADO;NACIONAL;ABRITRADOS;Rueda Puente, E. O., Ortega Garcia, J., Barron Hoyos, J. M., Hernandez Montiel, L. G., Murillo Amador, B., Alvarado Martinez, A. G., Valdez Dominguez, R. D.;2015
ARTICULO;Metal mining and natural protected areas in Mexico: Geographic overlaps and environmental implications;Environmental Science & Policy;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Armendariz Villegas, E. J., Covarrubias Garcia, M. A., Troyo Dieguez, E., Lagunes, E., Arreola Lizarraga, J. A., Nieto Garibay, A., Beltran Morales, L. F., Ortega Rubio, A.;2015
ARTICULO;Convergent changes in the trophic ecology of extremophile fish along replicated environmental gradients;Freshwater Biology;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Tobler, M., Scharnweber, K., Greenway, R., Passow, C. N., Arias Rodriguez, L., Garcia De Leon, F. J.;2015
ARTICULO;Quantitative analysis of hypertrophy and hyperactivity in the androgenic gland of eyestalk-ablated male Pacific white shrimp Litopenaeus vannamei during molt stages;Aquaculture;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Vazquez Islas, G., Guerrero Tortolero, D. A., Garza Torres, R., Alvarez Ruiz, P., Mejia Ruiz, C. H., Campos Ramos, R.;2015
ARTICULO;Foraging ecology of silky sharks, Carcharhinus falciformis, captured by the tuna purse-seine fishery in the eastern Pacific Ocean;Marine Biology;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Duffy, L. M., Olson, R. J., Lennert Cody, C. E., Galvan Magana, F., Bocanegra Castillo, N., Kuhnert, P. M.;2015
ARTICULO;Isolation and in vitro selection of actinomycetes strains as potential probiotics for aquaculture;Veterinary World;PUBLICADO;INTERNACIONAL;ABRITRADOS;Garcia Bernal, M., Campa Cordova, A. I., Saucedo Lastra, P. E., Casanova Gonzalez, M., Medina Marrero, R., Mazon Suastegui, J. M.;2015
ARTICULO;Intra-annual upwelling patterns and its linkage with primary production in the euphotic zone (24.5N) of Southern Baja California coast;Estuarine, Coastal and Shelf Science;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Cervantes Duarte, R., Prego, R., Gaxiola Castro, G., Lopez Lopez, S., Aguirre Bahena, F., Murillo Murillo, I.;2015
ARTICULO;Two Promoters of Beta-Glucosidase Paralogs (ZmBGlu2 and ZmBGlu5) Highly Active in Tropical Young Maize Hybrid Seedlings;Plant Molecular Biology Reporter;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Rojas, M., Tiessen, A., Ascencio Valle, F. J., Angulo Valadez, C. E., Gomez Anduro, G. A.;2015
ARTICULO;New Interpretations about Clonal Architecture for the Sour Pitaya (Stenocereus gummosus, Cactaceae), Arising from Microsatellite Markers of de novo Isolation and Characterization;Open Journal of Genetics;PUBLICADO;INTERNACIONAL;ABRITRADOS;Lozano Garza, O. A., Leon De La Luz, J. L., Favela Lara, S., Garcia De Leon, F. J.;2015
ARTICULO;Influence of the temperature on the early larval development of the Pacific red snapper, Lutjanus peru (Nichols & Murphy, 1922);Latin American Journal of Aquatic Research;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Estrada Godinez, J. A., Moreno Figueroa, L. D., Maldonado Garcia, M. C., Perez Urbiola, J. C., Rodriguez Romero, J., Audelo Naranjo, J. M.;2015
ARTICULO;Identificacion y dinamica poblacional de nematodos fitoparasitos asociados a la halofita Salicornia bigelovii (Torr.) en el noroeste de Mexico;Revista Mexicana de Ciencias Agricolas;PUBLICADO;NACIONAL;INDEXADO ISI O CONACYT;Rueda Puente, E. O., Holguin Pena, R. J., Preciado Rangel, P., Fortis Hernandez, M., Hernandez Montiel, L. G., Ruiz Espinoza, F. H.;2015
ARTICULO;Entomological Indicators to Assess Larval Aedes aegypti1 (Linnaeus, 1762) Control in Baja California Sur, Mexico;SOUTHWESTERN ENTOMOLOGIST;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Tovar Zamora, I., Ramos Rodriguez, A., Mendez Galvan, J. F., Servin Villegas, R.;2015
ARTICULO;Range extension of Lutjanus inermis (Peters, 1896) (Perciformes: Lutjanidae) to the central region of the Gulf of California, Mexico;Journal of Applied Ichthyology;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Fernandez Rivera Melo, F. J., Reyes Bonilla, H., Campos Davila, L., Balart Paez, E. F.;2015
ARTICULO;COMPARISON OF GROWTH CURVES OF FOUR PANOPEA SPECIES;Journal of Shellfish Research;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Aragon Noriega, E. A., Rodriguez Dominguez, G.;2015
ARTICULO;MODELING GROWTH OF THE CORTES GEODUCK PANOPEA GLOBOSA FROM UNEXPLOITED AND EXPLOITED BEDS IN THE NORTHERN GULF OF CALIFORNIA;Journal of Shellfish Research;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Aragon Noriega, E. A., Calderon Aguilera, L. E., Perez Valencia, S. A.;2015
ARTICULO;PHYLOGENY AND PHYLOGEOGRAPHY OF THE GEODUCK PANOPEA (BIVALVIA:HIATELLIDAE);Journal of Shellfish Research;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Leyva Valencia, I., Cruz Hernandez, P., Alvarez Castaneda, S. T., Rojas Posadas, D. I., Correa Ramirez, M. M., Vadopalas, B., Lluch Cota, D. B.;2015
ARTICULO;APPLICATION OF A GNOMONIC MODEL TO ESTIMATE THE LIFE SPAN AND NATURAL MORTALITY IN PANOPEA GLOBOSA;Journal of Shellfish Research;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Gonzalez Pelaez, S., Morales Bojorquez, E., Lluch Cota, D. B., Bautista Romero, J. J.;2015
ARTICULO;GENETIC STRUCTURE OF THE CORTES GEODUCK PANOPEA GLOBOSA DALL, 1898, FROM THE MEXICAN NORTHWEST;Journal of Shellfish Research;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Munguia Vega, A., Leyva Valencia, I., Lluch Cota, D. B., Cruz Hernandez, P.;2015
ARTICULO;GEODUCK PANOPEA GENEROSA GROWTH AT ITS SOUTHERN DISTRIBUTION LIMIT IN NORTH AMERICA USING A MULTIMODEL INFERENCE APPROACH;Journal of Shellfish Research;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Hidalgo de la Toba, J. A., Gonzalez Pelaez, S., Morales Bojorquez, E., Bautista Romero, J. J., Lluch Cota, D. B.;2015
ARTICULO;SELECTION OF MODELS TO PREDICT PANOPEA GLOBOSA GROWTH: APPLICATION OF A MIXTURE PROBABILITY DISTRIBUTION FUNCTION;Journal of Shellfish Research;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Morales Bojorquez, E., Aragon Noriega, E. A., Aguirre Villasenor, H., Calderon Aguilera, L. E., Zepeda Benitez, V. Y.;2015
ARTICULO;SINUSOIDAL FUNCTION MODELING APPLIED TO AGE VALIDATION OF GEODUCKS PANOPEA GENEROSA AND PANOPEA GLOBOSA;Journal of Shellfish Research;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Bautista Romero, J. J., Gonzalez Pelaez, S. S., Morales Bojorquez, E., Hidalgo de la Toba, J. A., Lluch Cota, D. B.;2015
ARTICULO;MODELING GEODUCK GROWTH: MULTIMODEL INFERENCE IN PANOPEA GLOBOSA FROM THE SOUTHWESTERN BAJA CALIFORNIA PENINSULA, MEXICO;Journal of Shellfish Research;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Gonzalez Pelaez, S. S., Morales Bojorquez, E., Lluch Cota, D. B., Lluch Cota, S. E., Bautista Romero, J. J.;2015
ARTICULO;The Human Footprint in Mexico: Physical Geography and Historical Legacies;PLoS One;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Gonzalez Abraham, C., Ezcurra, E., Pena Garcillan, P., Ortega Rubio, A., Kolb, M., Bezaury Creel, J. E.;2015
ARTICULO;Laboratory conditioning modifies properties of gills mitochondria from the Pacific oyster Crassostrea gigas;Marine Biology;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Dudognon, T., Guderley, H., Quere, C., Soudant, P., Racotta Dimitrov, I. S., Kraffe, E.;2015
ARTICULO;Multi-model inference for growth parameter estimation of the Bigeye Croaker Micropogonias megalops in the Upper Gulf of California;Revista de Biologia Marina y Oceanografia;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Aragon Noriega, E. A., Alcantara Razo, E., Valenzuela Quinonez, W., Rodriguez Quiroz, G.;2015
ARTICULO;Isolation and characterization of potential probiotic bacteria from pustulose ark (Anadara tuberculosa) suitable for shrimp farming;Latin American Journal of Aquatic Research;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Sanchez Ortiz, A. C., Luna Gonzalez, A., Campa Cordova, A. I., Escamilla Montes, R., Flores Miranda, M. C., Mazon Suastegui, J. M.;2015
