nombre,Tamaño,Fecha
./bottle.py,170853,Sat May  9 13:25:11 2020
./lc.py,4760,Sat May  9 14:01:17 2020
./index.py,2094,Sat May 16 10:17:02 2020
./index-ok.py,2075,Sat May 16 06:30:11 2020
./archivos.json,750,Sat May 16 09:34:12 2020
./descarga-csv-ok.py,402,Sat May 16 07:02:42 2020
./index.html,200,Sat May  9 14:13:22 2020
./untitled.txt,13,Sat May 16 10:00:09 2020
./.ipynb_checkpoints,0,Sat May 16 10:14:34 2020
./__pycache__,0,Sat May  9 14:10:32 2020
./uno.txt,0,Sat May  9 14:15:13 2020
